Year_Month,Mean_Sea_Level,North_Extent,South_Extent,Moving_Average_North,Moving_Average_South
1998-09-01,7.095,6.536033333333334,18.9035,11.853385772573583,11.524502642751205
1998-10-01,7.134,8.451870967741934,18.660451612903227,11.847692761820895,11.526997804041526
1998-11-01,7.173,10.4406,16.3004,11.840274150709783,11.528270581819305
1998-12-01,7.125,12.758645161290321,10.519483870967742,11.833049957161396,11.523761173217155
1999-01-01,7.167,14.359387096774194,4.815870967741936,11.828088129204408,11.524420044184897
1999-02-01,7.148,15.30892857142857,2.966,11.826533069680599,11.524323317994421
1999-03-01,7.105,15.39767741935484,3.9777741935483872,11.826319628820382,11.524744016919152
1999-04-01,7.174,15.0839,6.8918,11.832615462153715,11.529623461363597
1999-05-01,7.042,13.750967741935483,10.265322580645162,11.83850578473436,11.52935813878295
1999-06-01,7.004,11.779166666666667,13.648833333333332,11.834627729178806,11.529928138782951
1999-07-01,7.04,9.488290322580646,16.281612903225806,11.829282567888482,11.53468674093349
1999-08-01,7.025,7.2255806451612905,17.95790322580645,11.823814288318593,11.538788891471123
1999-09-01,7.031,6.116866666666667,18.696366666666666,11.8163853994297,11.54358305813779
1999-10-01,7.099,8.602806451612903,18.35216129032258,11.814501259644754,11.547716929105531
1999-11-01,7.127,10.796466666666667,15.964599999999999,11.811844870755866,11.549643317994422
1999-12-01,7.113,12.641193548387097,10.722032258064516,11.805631429895652,11.557014285736356
2000-01-01,7.107,14.220354838709678,4.748870967741936,11.800945946024685,11.556026651327754
2000-02-01,7.136,15.14148275862069,2.9065172413793103,11.797306516632236,11.55494614024401
2000-03-01,7.17,15.224838709677421,4.085870967741935,11.791957323083851,11.555945333792398
2000-04-01,7.152,14.558166666666667,7.1323,11.791191489750519,11.557048944903507
2000-05-01,7.077,13.15267741935484,10.92058064516129,11.790581812331162,11.567091686838994
2000-06-01,7.068,11.665233333333333,13.8927,11.790787367886717,11.573840020172325
2000-07-01,7.11,9.513,16.09774193548387,11.793007260359836,11.578230073935767
2000-08-01,7.116,7.168322580645161,18.206129032258065,11.796097582940481,11.583552385763722
2000-09-01,7.048,6.246066666666667,18.887833333333333,11.796958138496034,11.589342663541503
2000-10-01,7.077,8.37941935483871,18.13051612903226,11.796078837420767,11.590885943111394
2000-11-01,7.071,10.3211,15.757633333333333,11.789794670754102,11.593297054222505
2000-12-01,7.118,12.637258064516129,9.909709677419356,11.785892251399263,11.592932000459065
2001-01-01,7.172,14.202612903225807,5.233096774193548,11.784548971829368,11.592055656373043
2001-02-01,7.162,15.211142857142857,3.6503571428571426,11.78423022182937,11.596132739706377
2001-03-01,7.121,15.516322580645161,4.731451612903226,11.785065168065929,11.603837847233256
2001-04-01,7.066,14.856833333333332,7.044266666666667,11.785041001399263,11.603761180566591
2001-05-01,7.097,13.509612903225806,10.32990322580645,11.785345033657327,11.604181610674118
2001-06-01,7.072,11.455933333333332,13.418066666666668,11.77991086699066,11.607118277340785
2001-07-01,7.102,9.070354838709678,15.851870967741936,11.776213555162704,11.609630374114978
2001-08-01,7.115,7.460806451612903,17.42274193548387,11.776592318603564,11.60716182572788
2001-09-01,7.068,6.732166666666667,18.174966666666666,11.77875287415912,11.606014881283437
2001-10-01,7.116,8.298290322580646,17.726,11.776726798890301,11.604420795261932
2001-11-01,7.082,10.657833333333334,15.6103,11.77483707666808,11.604643850817487
2001-12-01,7.063,12.490741935483872,10.345903225806452,11.7710507863455,11.605923689527165
2002-01-01,6.924,14.272612903225808,4.739612903225806,11.767966915377757,11.60584653898953
2002-02-01,7.012,15.342357142857143,2.9603928571428573,11.766969029499268,11.606871651879514
2002-03-01,6.988,15.34890322580645,3.7482580645161288,11.765867147778838,11.608329716395643
2002-04-01,6.995,14.299433333333333,6.327833333333333,11.762721592223281,11.604444160840087
2002-05-01,7.066,12.970612903225806,9.511548387096774,11.760680463191022,11.60100061245299
2002-06-01,7.08,11.583400000000001,12.375766666666667,11.755985740968802,11.597394501341878
2002-07-01,7.123,9.274161290322581,15.414709677419355,11.74724434311934,11.593396920696717
2002-08-01,7.056,6.598999999999999,17.06667741935484,11.736192192581706,11.587893963707469
2002-09-01,7.001,5.827133333333333,17.887366666666665,11.722470803692817,11.585728685929693
2002-10-01,6.996,8.161903225806451,17.865774193548386,11.712824029499268,11.5851604063598
2002-11-01,6.961,10.341866666666666,15.405833333333334,11.704184029499267,11.581079850804246
2002-12-01,7.051,12.608451612903227,10.78541935483871,11.697526233800343,11.585910495965534
2003-01-01,7.048,14.39083870967742,5.772709677419355,11.693316018746579,11.597271517470912
2003-02-01,7.039,15.193142857142858,3.7885714285714287,11.689211852079913,11.608158124613768
